"segment_row","max_river_gap_m","max_transitional_gap_m","max_noncoastal_gap_m","water_ids","water_names","segment_id","source_id","min_coastal_gap_m","proposed_exclusion","evidence_url"
2562,40.1759398617754,8004.56242201132,40.1759398617754,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","c63d6191e6fa3d2034170d9f7b3f9f38cabf88d0801e823dc6630dfc487901ba","9568DDDF-9B25-45B6-B3BE-3529E7409755",11842.7052220673,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2563,274.495565170827,7362.82259781712,274.495565170827,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","d1748138fc4268cbfa777d08a8de8cb2cd4baeebd67cf0b1110674f044f5bfc7","632EC95A-0764-44F0-849A-F8A23E27D92D",10502.1694205294,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2564,166.737154771658,7306.82506174357,166.737154771658,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","627ef57c56072501f56ff0f7d09a61890c8e84200045c6da86f297af6819bafd","EDCA580A-1952-44BC-9755-D37BEC513DD1",11660.3745184352,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2565,258.209701226803,7301.49404708291,258.209701226803,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","a6995e29eb652ff652d9751a8a47d386b40fc2e62591758a1a8dfcf70258b086","D096633E-2224-4EAB-8289-A997CC0B9081",11543.348797996,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2566,260.74367498855,7259.88199533234,260.74367498855,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","5f14bc6d1904c5c06de54f62c9e7a3aa12b57c43fae0c09832a936584a9447c1","4C340B1C-BD28-4DF9-982E-1CD159CC92C7",11540.3775833437,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2567,8.93830053005538,2003.22663056334,8.93830053005538,"GB105035046290","Blyth (d/s Halesworth)","c5b858967b15485f4651692209edc7166b52b1e948ca5da2ac7ccfd4fc38386e","D261FBD1-BDE0-41A0-92A6-5F29704A4A05",6267.49554129969,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2568,2.83965789745332,1269.29823421023,2.83965789745332,"GB105035046290","Blyth (d/s Halesworth)","3fde02216ad6aa9d5596075a00ae03f4d9842cfe11a261660e349b857f0ac590","573832BB-A44D-467C-B21A-E57EB08E7B4D",6278.74974601464,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2569,11.739871433673,1132.27801334877,11.739871433673,"GB105035046290","Blyth (d/s Halesworth)","18e1029949d1376fcce09c83d7b34bd24adc54e88e7eeec2d7f1ed2f6f8c86e6","E7014134-876C-42ED-8F5F-05DD6CA28833",6124.77592009883,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2570,51.0473775054556,5132.2305603464,51.0473775054556,"GB105034045903","Waveney (Ellingham Mill - Burgh St. Peter)","fe08ad015fa3633e1c7cffcebea5b748a46d7e977760db4c6f2807796a292706","2607077F-02FC-472B-9410-E92F76C950C6",8048.23526998691,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2571,4.25362417074275,1144.65691287708,4.25362417074275,"GB105035046290","Blyth (d/s Halesworth)","3bfab61d66644945f2ba5990a6fa4c755b9cd2c17d635a979d02b8de8f885204","FB671FC5-4BC8-40D9-A7B8-913520B068FC",6049.10480601316,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
